,acc_train,acc_dev,max_depth,n_estimator,precision_1,recall_1,f1-score_1,precision_2,recall_2,f1-score_2,precision_3,recall_3,f1-score_3
0,1.0,0.6,6.0,100.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
1,1.0,0.5,6.0,200.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
2,1.0,0.5,6.0,300.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
3,1.0,0.5,6.0,400.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
4,1.0,0.5,6.0,500.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
5,1.0,0.5,6.0,600.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
6,1.0,0.5,6.0,700.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
7,1.0,0.5,6.0,800.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
8,1.0,0.5,6.0,900.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
9,1.0,0.5,6.0,1000.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
10,1.0,0.5,6.0,1100.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
11,1.0,0.5,6.0,1200.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
12,1.0,0.5,6.0,1300.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
13,1.0,0.5,6.0,1400.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
14,1.0,0.5,6.0,1500.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
15,1.0,0.5,6.0,1600.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
16,1.0,0.5,6.0,1700.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
17,1.0,0.5,6.0,1800.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
18,1.0,0.5,6.0,1900.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
19,1.0,0.5,6.0,2000.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
